English Term,POS Tags,Sanskrit Terms
accrue,v. n.,{#prativft/mil/milati/melituM/prAp/utpad/jan/jAyate/janituM/saYjan#}
accumulate,v. a.,{#ci/cinoti/cetuM/saYci/samAci/praci/rASIkf#}
accumulate,v. n.,{#upaci/(/vfD/varDate/varDituM/rASIBU#}
accumulated,p. p.,{#upacitaH/saYcitaH/samAcitaH/rASIkftaH/vardDitaH#}
accumulation,s.,{#saYcayaH/samudAyaH/sampattiH/saNGAtaH/sannayaH/oGaH/rASIkaraRaM#}
accuracy,s.,{#yATArTyaM/taTyaM/yATAtaTyaM/samyaktvaM/SudDatvaM/satyatA/mUkzmatvaM#}
accurate,a.,{#yaTArTaH/satyaH/taTyaH/ftaH/samaYjasaH/yATArDikaH#}
accurately,adv.,{#yaTArTaM/samyak/ftaM/satyaM/aYjasA/sUkzmatvana#}
accursed,p. p.,{#aBiSaptaH/SApagrastaH/AkruzwaH/AkroSanIyaH/avagarhitaH#}
accusation,s.,{#aBiyogaH/dozakalpanaM/apavAdaH/aBiSaMsanaM/aBiSApaH#}
accusative,a.,{#karmma#}
accuse,v. a.,{#aBiyuj/aDikzip/apavad/pariSap/aBiSap/aBiyuj#}
accused,,{#aBiyuktaH/aBiSaptaH/aBiSastaH#}
accuser,s.,{#aBiyogI/aBiyoktA/apavAdakaH/parivAdakaH#}
accustom,v. a.,{#aByas/aByAsaM/Sikz/Sikzayati/aByastaH#}
accustomary,a.,{#AcArikaH/AcaritaH/vyAvahArikaH/vyavahArAnurUpaH/svABAvikaH#}
accustomed,p. p.,{#aByastaH/SikzitaH#}
ace,s.,{#mudrAviSezaH/prAyas/IzadUnaM/mftakalpaH#}
acerbity,s.,{#kawutA/amlatA/SuktatA/svaBAvakawutA/aruntudatvaM#}
ache,s.,{#vedanaM/pIqA/vyaTA/SirovedanA/dantavedanA#}
ache,v. n.,{#pIq/vyaT/vyaTate/vyaTituM#}
achieve,v. a.,{#samAp/(/sampad/(/siD/sADayati/prAp/samAp/samprAp#}
achievement,s.,{#praSaMsanIyakarmma/cezwitaM/caritraM/padacihnaM#}
acid,a.,{#amlaH/SuktaH/SOktaH/SOktikaH#}
acid,s.,{#amlaH/SuktaM#}
acidity,s.,{#amlatA/amlaBAvaH/SuktatA/amlapittaH#}
acidulate,v. a.,{#amlayati#}
acidulated,p. p.,{#amlAktaH/amlIkftaH#}
acknowledge,v. a.,{#aBijYA/pratyaBijYA/samaBijYA/aNgIkf/anuBAp#}
acknowledgment,s.,{#svIkAraH/aNgIkAraH/pratyaBijYAnaM/svapApasvIkAraH#}
acorn,s.,{##}
acquaint,v. a.,{#jYA/(jYApayati/(boDayati/prabuD/pratibuD/avabuD/nivid#}
acquaintance,s.,{#paricayaH/jYAnaM/parijYAnaM/mitraM/saMsargI/viBAvaH/saMsargaH/saMstavaH#}
acquainted,,{#paricitaH/saMstutaH/jYAtaH#}
acquiesce,v. n.,{#tuz/santup/anuman/anujYA#}
acquiescence,s.,{#tuzwiH/paritozaH/santozaH/sammatiH/anumatiH/SAntiH/kzAntiH#}
acquirable,a.,{#prApyaH/laByaH#}
acquire,v. a.,{#arj/upArj/laB/laBate/labDuM/upalaB/prAp/aS/aSnute/aSituM/samAviS#}
acquired,p. p.,{#prAptaH/labDaH/ApannaH/arjjitaH/upArjjitaH#}
acquisition,s.,{#lABaH/labDiH/arjjanaM/prAptiH/avAptiH/samprAptiH/pratipattiH/grahaRaM/AgamaH/vidyAprAptiH/vidyArjjanaM/vidyAgamaH/DanArjjanaM/vipratipattiH#}
acquit,v. a.,{#muYcati/moktuM/vimuc/(mocayati/SuDa/(SoDayati/nistf#}
acquittal,s.,{#SudDiH/SoDanaM/muktiH/mokzaH#}
acquittance,s.,{#nistAraH/AnfRyaM/nizkftiH#}
acquitted,p. p.,{#SudDaH/muktaH#}
acrid,a.,{#kawuH/ugraH/aruntudaH/praKaraH#}
acrimony,s.,{#kawutA/ugratvaM/prAKaryyaM/svaBAvakawutA#}
across,adv.,{#samudrapAraM/vyatyastaM/vyatyastapARinA#}
acrostic,s.,{#SlokaviSezaH#}
act,v. n.,{#cezw/cezwate/cezwituM/vicezw/saYcezw/kf/karoti/kurute/karttuM/viDA/vyavahf/Acar/naw/nawati/nawituM#}
act,v. a.,{#naw/nAwayati/rUpayati/rAjAyate#}
act,s.,{#karmma/kAryyaM/cezwitaM/kriyA/kftaM/kftyaM/vicezwitaM/aNkaH/aNkaM/vyavasTA#}
action,s.,{#karmma/kriyA/kftyA/cezwA/vicezwitaM/pravfttiH/viDAnaM/kAraRaM/vAtAhatiH/iNgitaM/aNgahAraH/aNgavikzepaH/aBiyogaH/arTaH/yudDaM/saNgrAmaH/samaraH/saMyugaH#}
actionable,a.,{#aBiyojyaH/vyavahAryyaH/vyavaharttavyaH#}
active,a.,{#udyogI/prayatnavAn/udyuktaH/karmmodyuktaH/analasaH/sayatnaH/vyavasAyI/karmmI/sotsAhaH/sodyogaH/karmmanizWaH/tIkzRakarmmA/ASukArI/laGu/tvaritaH/satvaraH/atandraH/gatvaraH/parasmEpadaM/karttfvAcyaH/makarmmakakiyA/vyAyAmaSIlaH/vyAyAmI#}
activity,s.,{#karmmodyogaH/sayatnatA/vyavasAyaH/pravfttiH/pravarttanaM/vyAyAmaH/pravfttiH/prayatnatas#}
actor,s.,{#nawaH/narttakaH/kuSIlavaH/cAraRaH/raNgajIvakaH/raNgAjIvaH/aBinetA/SElAlI/kfSASvI/n/kArI/kArakaH/kAraH#}
actress,s.,{#narttakI/nawI/cAraRadArAH#}
actual,a.,{#taTyaH/vAstavaH/vAstavikaH/satyaH/vidyamAnaH#}
actually,adv.,{#vastutas/arTatas/kAryyatas/kAryyavat#}
actuary,s.,{#leKakaH/vyavasTAracakaH#}
acumen,s.,{#budDisUkzmatA/matiprakarzaH/vidagDatA/kuSAgrIyamatitvaM#}
acuminated,,{#tIkzRAgraH/aMSumAn#}
acute,a.,{#sUkzmabudDiH/vidagDaH/kuSAgrIyamatiH/tIkzRaH/tIvraH/tIvravedanA#}
acutely,adv.,{#tIvraM/tIkzRaM/sUkzmatayA#}
acuteness,s.,{#budDisUkzmatA/vidagDatA/vEdagDyaM/tEkzRyaM/tejaH/tIvratA#}
adage,s.,{#sUtraM/vacanaM/prAcInapuruzavacanaM#}
adagio,adv.,{##}
adagio,s.,{#svaramAndyaM#}
adamant,s.,{#vajraH/aBedyaprastaraH/hIrakaH/hIraM/avikaM/varArakaM#}
adamantine,a.,{#vajramayaH/vajraH#}
adapt,v. a.,{#yuj/(yojayati/sanDA/yuj/yujyate#}
adaptable,a.,{#yogyaH/yoktavyaH/saMyojanIyaH#}
adapted,p. p.,{#yuktaH/yogyaH/upayuktaH/paryyAptaH/samBAvyaH#}
add,v. a.,{#samAkzip/samAci/parisaNKyA/parigaR#}
adder,s.,{#sarpaviSezaH#}
addict,v. a.,{#AsaYj/Baj/Bajati/BaktuM/Asev/niviS/(/nirataH/AsaktaH#}
addicted,p. p.,{#saktaH/AsaktaH/prasaktaH/nivizwaH/prajuzwaH/pravaRaH#}
addiction,,{#saktiH/AsaktiH/raktiH/upasevanaM/niveSaH#}
addition,s.,{#saMyojanaM/samAyogaH/samAkzepaH/ADikyaM/saNkalitaM/parisaMKyA/parigaRanaM/anubanDaH#}
