Entry No   Transliteration                          Word Info            Definition
430        jvaraGnaM OzaDaM                         Antipyrin@           (e), {%s.%}

431        prAkkAlInavizayakovi-                    Antiquary,@          {@-rian,@} {%s.%}

432        prAcIna, purAtana-                       Antiquated, Antique,@ {%a.%}

433        pUtinASaka                               Antiseptic,@         {%a.%}

434        pratipakzatA, viroDaH, arTavE-           Antithesis,@         {%s.%}

435        mUlamUrti                                Antitype,@           {%s.%}

436        hariRaSfMgaM, mfgavizARaM                Antler,@             {%s.%}

437        gudaM, apAnaM, pAyuH                     Anus,@               {%s.%}

438        SUrmaH-rmI, sTURA                        Anvil,@              {%s.%}

439        ciMtA, utkaMWA, OtsukyaM,                Anxiety,@            {%s.%}

440        cit, cana,                               Any,@                {%a.%} Ex. by

441        satvaraM, SIGraM,                        Apace,@              {%adv.%}

442        pfTak; vi-pra-gata                       Apart,@              {%adv.%}

